date,home_team,away_team,home_xg,away_xg,home_1h_xg,away_1h_xg,home_2h_xg,away_2h_xg,home_shots_1h,away_shots_1h,league,season
2024-08-16,Man United,Fulham,1.28,0.84,0.5,0.36,0.78,0.48,4,7,EPL,2024-2025
2024-08-17,Nott'm Forest,Bournemouth,1.38,1.36,0.6,0.54,0.78,0.82,4,2,EPL,2024-2025
2024-08-17,Ipswich,Liverpool,0.15,2.11,0.08,1.07,0.07,1.04,6,4,EPL,2024-2025
2024-08-17,Everton,Brighton,0.85,3.16,0.32,1.39,0.53,1.77,4,2,EPL,2024-2025
2024-08-17,Arsenal,Wolves,2.52,0.56,1.11,0.23,1.41,0.33,5,2,EPL,2024-2025
2024-08-17,West Ham,Aston Villa,1.57,2.03,0.86,1.04,0.71,0.99,2,7,EPL,2024-2025
2024-08-17,Newcastle,Southampton,1.84,0.24,0.83,0.08,1.01,0.16,4,3,EPL,2024-2025
2024-08-18,Brentford,Crystal Palace,1.83,1.2,0.82,0.46,1.01,0.74,4,6,EPL,2024-2025
2024-08-18,Chelsea,Man City,0.9,2.12,0.34,1.07,0.56,1.05,2,5,EPL,2024-2025
2024-08-19,Leicester,Tottenham,2.06,1.18,0.84,0.43,1.22,0.75,3,7,EPL,2024-2025
2024-08-24,Southampton,Nott'm Forest,0.69,1.27,0.25,0.5,0.44,0.77,4,1,EPL,2024-2025
2024-08-24,Tottenham,Everton,3.96,0.37,1.98,0.2,1.98,0.17,5,2,EPL,2024-2025
2024-08-24,Aston Villa,Arsenal,1.15,2.02,0.49,0.87,0.66,1.15,2,6,EPL,2024-2025
2024-08-24,Man City,Ipswich,3.91,1.2,1.84,0.63,2.07,0.57,7,3,EPL,2024-2025
2024-08-24,Crystal Palace,West Ham,0.76,1.7,0.37,0.91,0.39,0.79,3,6,EPL,2024-2025
2024-08-24,Brighton,Man United,2.01,2.16,0.88,0.76,1.13,1.4,2,1,EPL,2024-2025
2024-08-24,Fulham,Leicester,2.07,1.23,0.91,0.43,1.16,0.8,6,6,EPL,2024-2025
2024-08-25,Bournemouth,Newcastle,1.2,1.41,0.46,0.66,0.74,0.75,3,5,EPL,2024-2025
2024-08-25,Wolves,Chelsea,2.01,4.0,0.91,1.94,1.1,2.06,4,4,EPL,2024-2025
2024-08-25,Liverpool,Brentford,2.61,0.39,0.97,0.16,1.64,0.23,4,1,EPL,2024-2025
2024-08-31,Leicester,Aston Villa,0.82,1.83,0.4,0.7,0.42,1.13,2,2,EPL,2024-2025
2024-08-31,Everton,Bournemouth,2.31,3.24,1.2,1.49,1.11,1.75,2,6,EPL,2024-2025
2024-08-31,Ipswich,Fulham,1.36,1.0,0.63,0.37,0.73,0.63,3,6,EPL,2024-2025
2024-08-31,Nott'm Forest,Wolves,1.59,0.76,0.76,0.36,0.83,0.4,4,6,EPL,2024-2025
2024-08-31,Arsenal,Brighton,1.44,1.16,0.56,0.49,0.88,0.67,8,2,EPL,2024-2025
2024-08-31,Brentford,Southampton,2.26,1.14,1.21,0.59,1.05,0.55,5,2,EPL,2024-2025
2024-08-31,West Ham,Man City,1.93,2.51,0.91,1.25,1.02,1.26,5,4,EPL,2024-2025
2024-09-01,Chelsea,Crystal Palace,1.67,0.83,0.86,0.4,0.81,0.43,5,3,EPL,2024-2025
2024-09-01,Man United,Liverpool,0.32,3.66,0.13,1.31,0.19,2.35,7,2,EPL,2024-2025
2024-09-01,Newcastle,Tottenham,1.91,1.43,0.92,0.53,0.99,0.9,7,3,EPL,2024-2025
2024-09-14,Brighton,Ipswich,0.15,0.46,0.07,0.17,0.08,0.29,2,6,EPL,2024-2025
2024-09-14,Bournemouth,Chelsea,0.53,1.1,0.28,0.43,0.25,0.67,6,4,EPL,2024-2025
