date,home_team,away_team,home_xg,away_xg,home_1h_xg,away_1h_xg,home_2h_xg,away_2h_xg,home_shots_1h,away_shots_1h,league,season
2022-08-12,Osasuna,Sevilla,2.65,1.48,0.97,0.63,1.68,0.85,7,1,La_Liga,2022-2023
2022-08-13,Barcelona,Vallecano,0.91,0.91,0.48,0.48,0.43,0.43,8,2,La_Liga,2022-2023
2022-08-13,Valladolid,Villarreal,0.79,3.47,0.4,1.61,0.39,1.86,3,7,La_Liga,2022-2023
2022-08-13,Celta,Espanol,1.92,1.85,0.81,0.86,1.11,0.99,4,4,La_Liga,2022-2023
2022-08-14,Valencia,Girona,1.94,0.1,0.86,0.05,1.08,0.05,6,4,La_Liga,2022-2023
2022-08-14,Almeria,Real Madrid,1.39,1.98,0.55,0.84,0.84,1.14,8,1,La_Liga,2022-2023
2022-08-14,Cadiz,Sociedad,0.46,1.1,0.24,0.59,0.22,0.51,4,5,La_Liga,2022-2023
2022-08-15,Getafe,Ath Madrid,0.81,3.77,0.35,1.74,0.46,2.03,8,4,La_Liga,2022-2023
2022-08-15,Ath Bilbao,Mallorca,0.75,0.46,0.36,0.16,0.39,0.3,5,5,La_Liga,2022-2023
2022-08-15,Betis,Elche,3.32,0.97,1.43,0.5,1.89,0.47,5,6,La_Liga,2022-2023
2022-08-19,Espanol,Vallecano,1.46,2.48,0.66,1.26,0.8,1.22,7,7,La_Liga,2022-2023
2022-08-19,Sevilla,Valladolid,1.29,1.41,0.65,0.69,0.64,0.72,3,6,La_Liga,2022-2023
2022-08-20,Mallorca,Betis,1.12,3.04,0.41,1.43,0.71,1.61,8,6,La_Liga,2022-2023
2022-08-20,Celta,Real Madrid,1.71,3.74,0.74,1.35,0.97,2.39,4,5,La_Liga,2022-2023
2022-08-20,Osasuna,Cadiz,2.6,0.62,1.0,0.22,1.6,0.4,4,5,La_Liga,2022-2023
2022-08-21,Sociedad,Barcelona,1.67,4.0,0.7,1.45,0.97,2.55,6,2,La_Liga,2022-2023
2022-08-21,Ath Madrid,Villarreal,0.33,2.61,0.17,0.98,0.16,1.63,3,7,La_Liga,2022-2023
2022-08-21,Ath Bilbao,Valencia,1.5,0.1,0.71,0.05,0.79,0.05,3,4,La_Liga,2022-2023
2022-08-22,Girona,Getafe,3.24,1.89,1.26,0.98,1.98,0.91,4,7,La_Liga,2022-2023
2022-08-22,Elche,Almeria,1.48,1.7,0.69,0.73,0.79,0.97,6,5,La_Liga,2022-2023
2022-08-26,Girona,Celta,0.72,0.94,0.32,0.49,0.4,0.45,8,3,La_Liga,2022-2023
2022-08-26,Betis,Osasuna,1.7,0.1,0.65,0.05,1.05,0.05,7,4,La_Liga,2022-2023
2022-08-27,Almeria,Sevilla,1.72,1.4,0.76,0.7,0.96,0.7,4,5,La_Liga,2022-2023
2022-08-27,Elche,Sociedad,0.47,1.29,0.22,0.68,0.25,0.61,7,5,La_Liga,2022-2023
2022-08-27,Vallecano,Mallorca,0.41,1.95,0.17,0.92,0.24,1.03,3,5,La_Liga,2022-2023
2022-08-28,Espanol,Real Madrid,1.52,2.18,0.63,0.8,0.89,1.38,6,5,La_Liga,2022-2023
2022-08-28,Getafe,Villarreal,0.83,0.37,0.44,0.2,0.39,0.17,5,6,La_Liga,2022-2023
2022-08-28,Barcelona,Valladolid,4.28,0.77,1.79,0.27,2.49,0.5,4,5,La_Liga,2022-2023
2022-08-29,Cadiz,Ath Bilbao,0.94,4.0,0.46,1.71,0.48,2.29,7,5,La_Liga,2022-2023
2022-08-29,Valencia,Ath Madrid,0.52,1.6,0.19,0.57,0.33,1.03,6,4,La_Liga,2022-2023
2022-09-02,Celta,Cadiz,3.33,1.08,1.74,0.51,1.59,0.57,5,7,La_Liga,2022-2023
2022-09-03,Mallorca,Girona,1.19,0.9,0.44,0.48,0.75,0.42,8,5,La_Liga,2022-2023
2022-09-03,Real Madrid,Betis,2.15,1.16,0.84,0.41,1.31,0.75,4,4,La_Liga,2022-2023
2022-09-03,Sociedad,Ath Madrid,1.3,1.49,0.59,0.59,0.71,0.9,8,2,La_Liga,2022-2023
2022-09-03,Sevilla,Barcelona,0.15,4.0,0.06,1.57,0.09,2.43,3,6,La_Liga,2022-2023
2022-09-04,Ath Bilbao,Espanol,0.57,1.94,0.26,0.76,0.31,1.18,6,3,La_Liga,2022-2023
2022-09-04,Valencia,Getafe,4.18,1.16,2.23,0.43,1.95,0.73,2,5,La_Liga,2022-2023
2022-09-04,Villarreal,Elche,3.42,0.1,1.54,0.04,1.88,0.06,2,7,La_Liga,2022-2023
2022-09-04,Osasuna,Vallecano,1.9,1.02,0.77,0.55,1.13,0.47,7,4,La_Liga,2022-2023
2022-09-05,Valladolid,Almeria,1.09,0.42,0.51,0.17,0.58,0.25,2,1,La_Liga,2022-2023
2022-09-09,Girona,Valladolid,2.15,1.19,0.84,0.54,1.31,0.65,4,7,La_Liga,2022-2023
2022-09-10,Vallecano,Valencia,2.82,1.62,1.39,0.66,1.43,0.96,4,1,La_Liga,2022-2023
2022-09-10,Cadiz,Barcelona,0.46,3.24,0.22,1.77,0.24,1.47,8,3,La_Liga,2022-2023
