date,home_team,away_team,home_xg,away_xg,home_1h_xg,away_1h_xg,home_2h_xg,away_2h_xg,home_shots_1h,away_shots_1h,league,season
2022-08-05,Crystal Palace,Arsenal,0.72,2.64,0.38,1.3,0.34,1.34,7,1,EPL,2022-2023
2022-08-06,Newcastle,Nott'm Forest,1.88,0.46,0.76,0.24,1.12,0.22,7,4,EPL,2022-2023
2022-08-06,Bournemouth,Aston Villa,2.6,0.89,0.99,0.42,1.61,0.47,3,1,EPL,2022-2023
2022-08-06,Tottenham,Southampton,4.38,1.41,1.8,0.77,2.58,0.64,4,7,EPL,2022-2023
2022-08-06,Everton,Chelsea,0.15,1.48,0.05,0.55,0.1,0.93,8,5,EPL,2022-2023
2022-08-06,Leeds,Wolves,1.78,1.45,0.72,0.69,1.06,0.76,2,2,EPL,2022-2023
2022-08-06,Fulham,Liverpool,2.35,2.43,1.13,1.2,1.22,1.23,6,6,EPL,2022-2023
2022-08-07,Man United,Brighton,1.32,3.06,0.5,1.36,0.82,1.7,7,1,EPL,2022-2023
2022-08-07,West Ham,Man City,0.59,2.54,0.22,1.04,0.37,1.5,7,4,EPL,2022-2023
2022-08-07,Leicester,Brentford,1.96,1.52,0.74,0.7,1.22,0.82,6,1,EPL,2022-2023
2022-08-12,Osasuna,Sevilla,2.65,1.48,0.97,0.63,1.68,0.85,7,1,La_Liga,2022-2023
2022-08-13,Barcelona,Vallecano,0.91,0.91,0.48,0.48,0.43,0.43,8,2,La_Liga,2022-2023
2022-08-13,Arsenal,Leicester,4.03,2.63,2.17,1.11,1.86,1.52,7,3,EPL,2022-2023
2022-08-13,Aston Villa,Everton,2.75,1.13,0.99,0.44,1.76,0.69,2,6,EPL,2022-2023
2022-08-13,Valladolid,Villarreal,0.79,3.47,0.4,1.61,0.39,1.86,3,7,La_Liga,2022-2023
2022-08-13,Brentford,Man United,3.66,0.82,1.82,0.35,1.84,0.47,4,6,EPL,2022-2023
2022-08-13,Brighton,Newcastle,0.75,1.48,0.41,0.55,0.34,0.93,4,6,EPL,2022-2023
2022-08-13,Celta,Espanol,1.92,1.85,0.81,0.86,1.11,0.99,4,4,La_Liga,2022-2023
2022-08-13,Wolves,Fulham,0.95,0.25,0.39,0.11,0.56,0.14,3,3,EPL,2022-2023
2022-08-13,Southampton,Leeds,2.28,2.03,1.0,0.78,1.28,1.25,6,2,EPL,2022-2023
2022-08-13,Man City,Bournemouth,3.93,0.25,2.05,0.12,1.88,0.13,2,7,EPL,2022-2023
2022-08-14,Nott'm Forest,West Ham,1.18,0.1,0.58,0.05,0.6,0.05,7,4,EPL,2022-2023
2022-08-14,Valencia,Girona,1.94,0.1,0.86,0.05,1.08,0.05,6,4,La_Liga,2022-2023
2022-08-14,Almeria,Real Madrid,1.39,1.98,0.55,0.84,0.84,1.14,8,1,La_Liga,2022-2023
2022-08-14,Chelsea,Tottenham,2.13,2.3,1.06,0.92,1.07,1.38,2,4,EPL,2022-2023
2022-08-14,Cadiz,Sociedad,0.46,1.1,0.24,0.59,0.22,0.51,4,5,La_Liga,2022-2023
2022-08-15,Getafe,Ath Madrid,0.81,3.77,0.35,1.74,0.46,2.03,8,4,La_Liga,2022-2023
2022-08-15,Ath Bilbao,Mallorca,0.75,0.46,0.36,0.16,0.39,0.3,5,5,La_Liga,2022-2023
2022-08-15,Betis,Elche,3.32,0.97,1.43,0.5,1.89,0.47,5,6,La_Liga,2022-2023
2022-08-15,Liverpool,Crystal Palace,1.62,1.4,0.72,0.55,0.9,0.85,2,1,EPL,2022-2023
2022-08-19,Espanol,Vallecano,1.46,2.48,0.66,1.26,0.8,1.22,7,7,La_Liga,2022-2023
2022-08-19,Sevilla,Valladolid,1.29,1.41,0.65,0.69,0.64,0.72,3,6,La_Liga,2022-2023
2022-08-20,Fulham,Brentford,2.95,2.7,1.61,1.47,1.34,1.23,8,3,EPL,2022-2023
2022-08-20,Tottenham,Wolves,1.12,0.47,0.49,0.26,0.63,0.21,4,6,EPL,2022-2023
2022-08-20,Bournemouth,Arsenal,0.85,3.2,0.36,1.3,0.49,1.9,3,1,EPL,2022-2023
2022-08-20,Crystal Palace,Aston Villa,3.6,1.45,1.53,0.73,2.07,0.72,6,3,EPL,2022-2023
2022-08-20,Everton,Nott'm Forest,1.4,1.18,0.53,0.49,0.87,0.69,5,1,EPL,2022-2023
2022-08-20,Leicester,Southampton,1.11,2.31,0.45,1.1,0.66,1.21,5,5,EPL,2022-2023
2022-08-20,Mallorca,Betis,1.12,3.04,0.41,1.43,0.71,1.61,8,6,La_Liga,2022-2023
2022-08-20,Celta,Real Madrid,1.71,3.74,0.74,1.35,0.97,2.39,4,5,La_Liga,2022-2023
2022-08-20,Osasuna,Cadiz,2.6,0.62,1.0,0.22,1.6,0.4,4,5,La_Liga,2022-2023
2022-08-21,Sociedad,Barcelona,1.67,4.0,0.7,1.45,0.97,2.55,6,2,La_Liga,2022-2023
2022-08-21,Ath Madrid,Villarreal,0.33,2.61,0.17,0.98,0.16,1.63,3,7,La_Liga,2022-2023
2022-08-21,West Ham,Brighton,0.69,2.15,0.28,0.86,0.41,1.29,7,2,EPL,2022-2023
2022-08-21,Ath Bilbao,Valencia,1.5,0.1,0.71,0.05,0.79,0.05,3,4,La_Liga,2022-2023
2022-08-21,Leeds,Chelsea,3.24,0.66,1.72,0.3,1.52,0.36,3,5,EPL,2022-2023
2022-08-21,Newcastle,Man City,3.5,2.11,1.62,1.07,1.88,1.04,2,6,EPL,2022-2023
2022-08-22,Girona,Getafe,3.24,1.89,1.26,0.98,1.98,0.91,4,7,La_Liga,2022-2023
2022-08-22,Man United,Liverpool,2.57,1.37,1.08,0.68,1.49,0.69,6,5,EPL,2022-2023
2022-08-22,Elche,Almeria,1.48,1.7,0.69,0.73,0.79,0.97,6,5,La_Liga,2022-2023
2022-08-26,Girona,Celta,0.72,0.94,0.32,0.49,0.4,0.45,8,3,La_Liga,2022-2023
2022-08-26,Betis,Osasuna,1.7,0.1,0.65,0.05,1.05,0.05,7,4,La_Liga,2022-2023
2022-08-27,Almeria,Sevilla,1.72,1.4,0.76,0.7,0.96,0.7,4,5,La_Liga,2022-2023
2022-08-27,Elche,Sociedad,0.47,1.29,0.22,0.68,0.25,0.61,7,5,La_Liga,2022-2023
2022-08-27,Vallecano,Mallorca,0.41,1.95,0.17,0.92,0.24,1.03,3,5,La_Liga,2022-2023
2022-08-27,Southampton,Man United,0.34,1.33,0.16,0.61,0.18,0.72,3,4,EPL,2022-2023
2022-08-27,Arsenal,Fulham,2.19,2.41,0.8,1.27,1.39,1.14,4,2,EPL,2022-2023
2022-08-27,Brighton,Leeds,2.05,0.78,0.86,0.34,1.19,0.44,5,1,EPL,2022-2023
2022-08-27,Brentford,Everton,1.1,1.72,0.56,0.88,0.54,0.84,3,3,EPL,2022-2023
2022-08-27,Man City,Crystal Palace,4.39,2.49,1.76,0.9,2.63,1.59,8,3,EPL,2022-2023
2022-08-27,Liverpool,Bournemouth,4.5,1.04,2.12,0.36,2.38,0.68,3,5,EPL,2022-2023
2022-08-27,Chelsea,Leicester,2.17,1.22,0.94,0.56,1.23,0.66,4,7,EPL,2022-2023
2022-08-28,Espanol,Real Madrid,1.52,2.18,0.63,0.8,0.89,1.38,6,5,La_Liga,2022-2023
2022-08-28,Getafe,Villarreal,0.83,0.37,0.44,0.2,0.39,0.17,5,6,La_Liga,2022-2023
2022-08-28,Barcelona,Valladolid,4.28,0.77,1.79,0.27,2.49,0.5,4,5,La_Liga,2022-2023
2022-08-28,Aston Villa,West Ham,0.92,0.91,0.37,0.45,0.55,0.46,8,7,EPL,2022-2023
2022-08-28,Nott'm Forest,Tottenham,0.46,2.08,0.24,0.83,0.22,1.25,5,7,EPL,2022-2023
2022-08-28,Wolves,Newcastle,1.27,1.02,0.63,0.55,0.64,0.47,2,2,EPL,2022-2023
2022-08-29,Cadiz,Ath Bilbao,0.94,4.0,0.46,1.71,0.48,2.29,7,5,La_Liga,2022-2023
