feature,importance
diff_stf_r5,24
home_shot_acc_r5,18
impl_draw_std,18
away_momentum,18
season_day,18
away_shtf_r5,15
away_shta_r3,15
impl_draw_bb,14
away_foulf_a_r5,14
diff_crnf_r5,14
home_shta_r3,13
home_momentum,13
away_crna_r5,13
away_shtf_r3,13
away_shta_a_r5,12
h2h_draw_rate,12
home_stf_h_r5,12
home_foulf_r3,12
away_shta_r5,12
away_crna_a_r5,11
impl_draw_lb,11
home_crna_h_r5,11
away_stf_a_r5,11
away_shtf_a_r5,11
impl_draw_ps,11
impl_draw_bw,10
home_ycf_h_r5,10
home_crnf_h_r5,10
home_ycf_r5,10
home_sta_r3,10
diff_shtf_r5,10
away_foulf_r5,10
away_gf_a_r5,9
away_ga_a_r3,9
diff_gf_r5,9
home_sta_r5,9
home_htga_r5,9
home_stf_r3,9
away_shta_a_r3,9
away_rest,9
home_shta_r5,9
impl_draw_b365,9
home_shta_h_r3,9
away_crna_r3,9
away_foulf_r3,8
home_sta_h_r3,8
away_foulf_a_r3,8
home_shtf_h_r3,8
home_shtf_r5,8
away_ycf_a_r5,8
away_shot_acc_r5,8
impl_draw_vc,8
away_stf_r3,8
impl_draw_consensus,7
impl_home_lb,7
away_ga_a_r5,7
away_ycf_r5,7
away_htgf_r5,7
away_crnf_r5,7
impl_away_wh,7
impl_away_bw,7
home_shtf_r3,7
away_crnf_a_r5,6
home_shta_h_r5,6
home_crnf_r5,6
impl_away_iw,6
home_stf_r5,6
away_gf_r5,6
home_ycf_r3,6
away_stf_a_r3,6
home_crna_h_r3,6
home_shtf_h_r5,5
impl_away_consensus,5
impl_draw_wh,5
home_htga_h_r5,5
impl_home_bb,5
impl_home_consensus,5
impl_home_ps,5
home_ycf_h_r3,5
home_stf_h_r3,5
impl_home_vc,5
home_foulf_r5,5
away_stf_r5,5
diff_htgf_r5,5
away_crnf_r3,5
away_ga_r3,5
away_ga_r5,5
home_ga_h_r5,4
diff_htga_r5,4
away_sta_r5,4
away_sta_a_r3,4
home_crna_r3,4
home_crna_r5,4
impl_away_b365,4
home_crnf_r3,4
home_foulf_h_r3,4
impl_away_bb,4
away_shtf_a_r3,4
home_gf_h_r5,4
home_rest,4
away_ycf_r3,4
impl_away_lb,4
impl_away_ps,4
impl_draw_iw,4
away_htga_a_r5,4
impl_home_b365,4
home_gf_r5,4
away_rcf_r3,4
impl_away_vc,3
away_htgf_a_r3,3
home_gf_r3,3
away_crnf_a_r3,3
log_b365d,3
away_sta_r3,3
home_htgf_r5,3
home_crnf_h_r3,3
home_htga_h_r3,3
home_gf_h_r3,3
away_crna_a_r3,3
home_sta_h_r5,3
h2h_n_games,2
away_htgf_a_r5,2
impl_home_wh,2
dow,2
home_htga_r3,2
home_ga_r5,2
home_htgf_h_r5,2
away_sta_a_r5,2
diff_ga_r5,2
home_htgf_r3,2
home_foulf_h_r5,2
home_ga_h_r3,2
away_htgf_r3,1
away_rcf_a_r3,1
month,1
log_b365a,1
away_rcf_r5,1
home_rcf_r5,1
impl_home_iw,1
home_htgf_h_r3,1
impl_home_bw,1
away_htga_a_r3,1
away_htga_r3,1
away_htga_r5,1
away_rcf_a_r5,1
home_ga_r3,1
away_ycf_a_r3,1
away_gf_a_r3,0
home_rcf_h_r5,0
away_gf_r3,0
home_rcf_r3,0
home_rcf_h_r3,0
log_b365h,0
