feature,shap_mean_abs
impl_draw_bw,0.004271681
home_foulf_r3,0.002229671
away_crna_a_r5,0.0020470067
home_shtf_h_r5,0.0013442709
away_rest,0.0012931963
away_shta_r3,0.001254774
home_crnf_r3,0.0011279123
home_shtf_r3,0.0010519939
impl_away_iw,0.001038622
away_gf_r3,0.0010067702
home_shtf_h_r3,0.0009788735
away_shta_r5,0.0009588386
impl_away_b365,0.0009526436
away_shtf_a_r5,0.00089708506
dow,0.0008715618
away_stf_a_r5,0.00085460715
impl_away_bb,0.0008537844
home_stf_r3,0.0008398423
log_b365a,0.00083421776
diff_gf_r5,0.0008238608
diff_crnf_r5,0.0008236392
away_htga_r5,0.00081462413
home_sta_r5,0.000813169
diff_shtf_r5,0.00078217796
home_shta_r5,0.00076992664
away_foulf_r5,0.0007237375
home_htga_h_r5,0.0007229205
home_htga_r5,0.0006754692
impl_draw_consensus,0.00064093876
home_sta_r3,0.0006034461
away_shtf_a_r3,0.0005627861
away_crna_r5,0.00056184304
away_crnf_r5,0.0005449791
home_shot_acc_r5,0.0005410385
away_gf_r5,0.0005329554
home_shtf_r5,0.0005236911
home_crna_r5,0.0005234307
season_day,0.00051678263
away_crnf_a_r5,0.0005091039
home_ycf_h_r3,0.0005032698
home_ga_r5,0.00049892114
away_ycf_r5,0.0004953134
home_ycf_h_r5,0.00049461646
home_ycf_r5,0.0004691381
impl_home_bw,0.0004669448
impl_home_bb,0.00045135428
home_crna_h_r3,0.00043683255
home_shta_h_r3,0.00039512897
home_ga_r3,0.00039355547
home_htgf_h_r5,0.0003826965
away_shtf_r5,0.0003720071
home_htgf_r5,0.00036950578
impl_home_iw,0.00035085756
home_ga_h_r5,0.00033613906
away_crnf_a_r3,0.0003355615
away_foulf_a_r3,0.00033502118
home_foulf_h_r5,0.0003135959
away_sta_a_r5,0.00031105155
home_rcf_h_r3,0.0003009755
away_crna_r3,0.00028843855
impl_draw_std,0.00027676355
month,0.0002672074
away_ycf_a_r3,0.00026306685
home_shta_h_r5,0.0002605033
away_htga_a_r3,0.00026027916
home_stf_h_r3,0.00023238348
away_ga_r5,0.00023099862
impl_draw_iw,0.00022681023
impl_home_b365,0.0002262342
away_htgf_a_r5,0.00022521836
impl_home_lb,0.00022472511
away_shta_a_r3,0.00021924832
away_ga_a_r3,0.00021323396
away_sta_r5,0.00021075628
home_foulf_r5,0.00020065124
home_stf_h_r5,0.00019506356
home_momentum,0.000187692
away_htga_a_r5,0.0001849338
h2h_draw_rate,0.00017635374
away_foulf_r3,0.00015882541
diff_ga_r5,0.00015456667
away_crnf_r3,0.00012032512
home_foulf_h_r3,0.000119164724
home_shta_r3,8.7758795e-05
away_ga_r3,8.0484264e-05
impl_draw_bb,7.771109e-05
impl_away_consensus,0.0
impl_away_bw,0.0
away_htgf_r5,0.0
away_htgf_r3,0.0
impl_away_ps,0.0
impl_away_vc,0.0
away_momentum,0.0
impl_away_wh,0.0
impl_draw_b365,0.0
away_rcf_a_r3,0.0
away_rcf_a_r5,0.0
impl_away_lb,0.0
impl_draw_ps,0.0
away_htgf_a_r3,0.0
away_ga_a_r5,0.0
log_b365h,0.0
log_b365d,0.0
away_foulf_a_r5,0.0
impl_home_wh,0.0
impl_home_vc,0.0
impl_home_ps,0.0
impl_home_consensus,0.0
away_htga_r3,0.0
away_gf_a_r3,0.0
away_gf_a_r5,0.0
impl_draw_wh,0.0
impl_draw_vc,0.0
away_rcf_r3,0.0
impl_draw_lb,0.0
home_ycf_r3,0.0
away_shot_acc_r5,0.0
away_rcf_r5,0.0
home_stf_r5,0.0
diff_stf_r5,0.0
home_htgf_r3,0.0
home_htgf_h_r3,0.0
h2h_n_games,0.0
home_htga_r3,0.0
home_crna_h_r5,0.0
home_htga_h_r3,0.0
home_gf_r5,0.0
home_gf_r3,0.0
home_gf_h_r5,0.0
home_gf_h_r3,0.0
home_crna_r3,0.0
home_crnf_h_r3,0.0
home_crnf_h_r5,0.0
home_ga_h_r3,0.0
diff_htgf_r5,0.0
home_rcf_h_r5,0.0
home_rcf_r3,0.0
away_sta_r3,0.0
home_crnf_r5,0.0
away_shta_a_r5,0.0
away_shtf_r3,0.0
away_sta_a_r3,0.0
home_sta_h_r5,0.0
home_sta_h_r3,0.0
away_stf_a_r3,0.0
home_rcf_r5,0.0
away_stf_r3,0.0
away_stf_r5,0.0
away_ycf_a_r5,0.0
away_ycf_r3,0.0
diff_htga_r5,0.0
home_rest,0.0
away_crna_a_r3,0.0
